activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
mavacamten,dyspnoeas,107,31.05,3.45,3.38,3.35,2.84335,3.35676,3.93277
anselamimab,dyspnoeas,21,4.35,4.83,3.83,4.33,2.83683,4.37756,6.39816
etesevimab,dyspnoeas,125,37.64,3.32,4.5,3.24,2.78654,3.24612,3.75661
bisoprolol,dyspnoeas,1174,400.42,2.93,2.74,2.92,2.78648,2.92477,3.06758
cannabinol,dyspnoeas,24,5.29,4.54,7,4.1,2.78402,4.13228,5.89264
malathion,dyspnoeas,11,1.73,6.38,3.21,5.37,2.78152,5.55293,9.27055
amiodarone,dyspnoeas,2541,887.32,2.86,2.91,2.86,2.7681,2.86046,2.95486
niraparib,dyspnoeas,2322,810.91,2.86,2.75,2.86,2.76339,2.85994,2.95872
tolmetin,dyspnoeas,235,75.53,3.11,3.11,3.07,2.75391,3.07361,3.41786
lumacaftor/ivacaftor,dyspnoeas,533,179.56,2.97,3.32,2.95,2.74658,2.95236,3.16828
roflumilast,dyspnoeas,317,104.51,3.03,3,3,2.73567,3.00579,3.2935
octreotide,dyspnoeas,3616,1288.71,2.81,2.55,2.8,2.72769,2.80371,2.88112
trilacicilib,dyspnoeas,16,3.13,5.12,5.2,4.45,2.68709,4.5169,7.01394
ferric gluconate,dyspnoeas,173,55.84,3.1,4.45,3.04,2.67937,3.047,3.44812
reslizumab,dyspnoeas,89,26.86,3.31,4.91,3.2,2.67374,3.20874,3.81655
iron,dyspnoeas,1105,396.31,2.79,3.77,2.78,2.64566,2.78111,2.92112
covid-19 vaccine,dyspnoeas,55,15.68,3.51,3.09,3.33,2.63062,3.33368,4.16845
gadoterate meglumine,dyspnoeas,377,132.16,2.85,4.29,2.83,2.59754,2.83114,3.07854
efgartigimod alfa,dyspnoeas,227,77.7,2.92,3.85,2.88,2.58032,2.88504,3.21348
camphor,dyspnoeas,21,4.77,4.4,3.21,3.89,2.56803,3.92089,5.7607
pergolide,dyspnoeas,161,54.68,2.94,2.63,2.89,2.53176,2.8925,3.28725
ivabradine,dyspnoeas,170,58.54,2.9,2.64,2.85,2.50896,2.85577,3.23424
semaxanib,dyspnoeas,55,16.65,3.3,2.61,3.13,2.47826,3.13553,3.91472
carvedilol,dyspnoeas,1112,426.16,2.61,2.51,2.6,2.47661,2.60296,2.73354
torsemide,dyspnoeas,280,101.39,2.76,2.65,2.73,2.47349,2.73407,3.01268
iopromide,dyspnoeas,1277,492.3,2.59,3.69,2.59,2.47104,2.5884,2.70943
amoxicillin/clavulanic acid,dyspnoeas,139,47.93,2.9,2.67,2.84,2.4613,2.84143,3.26043
sacubitril,dyspnoeas,34,9.39,3.62,3.35,3.32,2.45022,3.33626,4.45757
ganirelix,dyspnoeas,30,8.05,3.73,3.08,3.38,2.4371,3.39768,4.63939
alpha 1 protease inhibitor,dyspnoeas,207,74.56,2.78,4.22,2.74,2.43666,2.73881,3.06558
pneumococcal,dyspnoeas,36,10.27,3.5,2.86,3.23,2.40563,3.23931,4.28417
albuterol,dyspnoeas,14635,6017.36,2.43,6.5,2.43,2.39878,2.43169,2.46491
corticotropin,dyspnoeas,608,235.93,2.58,2.26,2.56,2.39814,2.56562,2.74076
levobunolol,dyspnoeas,44,13.2,3.33,1.65,3.11,2.39545,3.123,4.00812
tegaserod,dyspnoeas,646,252.71,2.56,2.62,2.54,2.38434,2.54564,2.7141
aliskiren,dyspnoeas,721,283.48,2.54,2.42,2.53,2.38176,2.5339,2.69243
sulfur,dyspnoeas,128,45.78,2.8,3.73,2.73,2.35485,2.73505,3.15576
gadoversetamide,dyspnoeas,75,25.25,2.97,3.78,2.85,2.34557,2.8593,3.44897
ioversol,dyspnoeas,739,295.47,2.5,3.5,2.49,2.34432,2.49215,2.64609
tafamidis,dyspnoeas,674,269.51,2.5,2.17,2.49,2.33644,2.49102,2.65231
benzocaine,dyspnoeas,23,6.08,3.78,2.5,3.33,2.27806,3.34897,4.80917
influenza,dyspnoeas,61,20.57,2.97,2.45,2.82,2.26999,2.83036,3.48486
etoricoxib,dyspnoeas,37,11.36,3.26,3.3,3,2.25556,3.01445,3.95765
fosaprepitant,dyspnoeas,459,189.85,2.42,3.14,2.4,2.22417,2.40414,2.59361
carboprost,dyspnoeas,45,14.9,3.02,2.76,2.83,2.18767,2.8351,3.6158
pirfenidone,dyspnoeas,2719,1205.37,2.26,2.28,2.25,2.18335,2.2537,2.32554
glycopyrronium,dyspnoeas,808,350.33,2.31,6.02,2.3,2.16878,2.29929,2.43495
iothalamate meglumine,dyspnoeas,141,55.43,2.54,3.73,2.49,2.16558,2.49613,2.85961
adenosine,dyspnoeas,146,58.37,2.5,3.3,2.45,2.13653,2.45636,2.80736
ringers,dyspnoeas,127,50.18,2.53,3.28,2.48,2.13366,2.47863,2.85999
palivizumab,dyspnoeas,848,375.09,2.26,1.96,2.25,2.12927,2.25423,2.38398
ferric carboxymaltose,dyspnoeas,742,329.99,2.25,3.1,2.24,2.1085,2.24113,2.37922
psyllium,dyspnoeas,44,15.15,2.9,3.29,2.72,2.09745,2.7241,3.47952
tezepelumab,dyspnoeas,105,41.43,2.53,2.24,2.47,2.09462,2.47105,2.89162
dietary fiber,dyspnoeas,11,2.24,4.92,5.14,3.89,2.09362,3.93994,6.9369
mibefradil,dyspnoeas,258,110.05,2.34,2.51,2.32,2.09183,2.3216,2.56779
alglucosidase alfa,dyspnoeas,49,17.41,2.81,4.53,2.65,2.07761,2.65839,3.34916
articaine,dyspnoeas,41,14.23,2.88,2.38,2.68,2.05231,2.69142,3.46761
sargramostim,dyspnoeas,164,69.15,2.37,2.37,2.33,2.04781,2.33519,2.64875
everolimus,dyspnoeas,2921,1383.71,2.11,2.07,2.11,2.04578,2.10933,2.17417
perflutren,dyspnoeas,538,245.53,2.19,3.22,2.18,2.0304,2.18146,2.33985
lodoxamide,dyspnoeas,11,2.35,4.69,2.55,3.68,1.99962,3.70829,6.55651
metoprolol,dyspnoeas,2025,979.63,2.07,1.96,2.06,1.99025,2.0648,2.1412
regadenoson,dyspnoeas,368,169.03,2.18,2.54,2.16,1.98296,2.16315,2.354
iopamidol,dyspnoeas,796,377.72,2.11,2.64,2.1,1.98117,2.10129,2.22619
peginterferon alfa-2a,dyspnoeas,1847,897.54,2.06,1.74,2.06,1.97768,2.05534,2.13501
olodaterol,dyspnoeas,732,347.36,2.11,6.48,2.1,1.97559,2.10072,2.23104
tadalafil,dyspnoeas,1643,803.38,2.05,1.76,2.04,1.96058,2.04233,2.12633
budesonide/formoterol,dyspnoeas,233,105.73,2.2,9.18,2.18,1.95459,2.18124,2.42492
carmustine,dyspnoeas,105,44.55,2.36,3.08,2.3,1.95114,2.30115,2.69179
lumefantrine,dyspnoeas,21,6.45,3.26,2.92,2.83,1.92155,2.84285,4.10475
belinostat,dyspnoeas,32,11.22,2.85,3.1,2.61,1.92154,2.61577,3.48464
diatrizoate meglumine,dyspnoeas,1969,1004,1.96,2.69,1.96,1.88731,1.95903,2.03254
boceprevir,dyspnoeas,422,205.4,2.05,2.04,2.04,1.8844,2.04364,2.21166
thyroid,dyspnoeas,87,37.45,2.32,2.45,2.25,1.88272,2.25779,2.68111
albumin,dyspnoeas,222,104.65,2.12,2.94,2.1,1.87621,2.09943,2.33984
umeclidinium,dyspnoeas,4168,2166.33,1.92,5.24,1.92,1.87445,1.92302,1.97243
montelukast,dyspnoeas,1913,987.53,1.94,2.01,1.93,1.86318,1.93504,2.00871
ioxilan,dyspnoeas,17,4.96,3.43,4.08,2.88,1.86086,2.89519,4.39713
perindopril,dyspnoeas,284,137.26,2.07,2.12,2.05,1.85901,2.05282,2.25974
ramipril,dyspnoeas,1380,709.52,1.94,1.88,1.94,1.85731,1.94202,2.02927
nebivolol,dyspnoeas,270,130.35,2.07,2.01,2.05,1.85543,2.05416,2.26669
fulvestrant,dyspnoeas,489,243.69,2.01,1.7,2,1.85281,1.9977,2.14998
telbivudine,dyspnoeas,83,36.19,2.29,2.26,2.22,1.84898,2.22711,2.65508
moxifloxacin,dyspnoeas,1556,810.03,1.92,1.92,1.92,1.83948,1.91835,1.99945
paclitaxel,dyspnoeas,4198,2236.21,1.88,2.59,1.88,1.82915,1.87637,1.92441
capmatinib,dyspnoeas,146,68.7,2.13,1.98,2.09,1.82013,2.09193,2.38986
telithromycin,dyspnoeas,288,142.76,2.02,1.96,2,1.81442,2.00216,2.20249
glatiramer,dyspnoeas,2921,1562.22,1.87,1.57,1.87,1.8122,1.86849,1.92593
indacaterol,dyspnoeas,1024,538.23,1.9,5.54,1.9,1.80278,1.8987,1.99796
ioxaglate,dyspnoeas,145,68.95,2.1,2.08,2.07,1.80039,2.07022,2.36608
iohexol,dyspnoeas,946,497.03,1.9,2.45,1.9,1.79942,1.89916,2.00253
aprepitant,dyspnoeas,32,12.15,2.63,2.85,2.41,1.78481,2.42487,3.21961
flunitrazepam,dyspnoeas,57,24.56,2.32,2.22,2.22,1.77405,2.22361,2.74663
rolapitant,dyspnoeas,73,32.69,2.23,2.8,2.16,1.77221,2.16166,2.60606
gadopentetate,dyspnoeas,1111,598.41,1.86,2.48,1.85,1.76331,1.85324,1.94619
carteolol,dyspnoeas,29,10.9,2.66,1.81,2.42,1.75772,2.42742,3.27046
pioglitazone,dyspnoeas,804,431.01,1.87,1.88,1.86,1.75488,1.86072,1.97073
omapatrilat,dyspnoeas,13,3.55,3.66,3.79,2.92,1.75235,2.93605,4.81956
ferumoxides,dyspnoeas,20,6.7,2.99,4.71,2.59,1.74857,2.59944,3.75666
gadobutrol,dyspnoeas,282,144.93,1.95,2.36,1.93,1.74839,1.93131,2.12662
ergocalciferol,dyspnoeas,41,16.94,2.42,2.1,2.27,1.74087,2.2764,2.91931
revefenacin,dyspnoeas,46,19.49,2.36,7.16,2.23,1.73812,2.23728,2.82923
rifapentine,dyspnoeas,14,4.03,3.48,3.27,2.82,1.73657,2.83605,4.52505
ancestim,dyspnoeas,9,1.95,4.61,3.79,3.4,1.73596,3.40962,6.52629
rosiglitazone/metformin,dyspnoeas,263,135.58,1.94,1.99,1.92,1.73592,1.92442,2.12616
tixagevimab/cilgavimab,dyspnoeas,75,34.47,2.18,1.96,2.1,1.73411,2.1092,2.53622
benzonatate,dyspnoeas,62,27.82,2.23,2.1,2.14,1.7285,2.14537,2.62669
phendimetrazine,dyspnoeas,15,4.5,3.33,3.16,2.74,1.72468,2.75649,4.29374
oxaliplatin,dyspnoeas,2694,1517.03,1.78,2.36,1.77,1.71895,1.77459,1.83142
sodium bicarbonate,dyspnoeas,177,89.73,1.97,2,1.95,1.71823,1.94914,2.20002
betaxolol,dyspnoeas,73,33.8,2.16,1.51,2.09,1.71582,2.09262,2.52233
ribociclib,dyspnoeas,999,551.9,1.81,1.76,1.81,1.71424,1.80661,1.90225
ponesimod,dyspnoeas,16,5.01,3.19,3.07,2.66,1.708,2.67846,4.08505
bleomycin,dyspnoeas,167,84.8,1.97,2.15,1.94,1.70768,1.94453,2.2025
cyanocobalamin,dyspnoeas,48,20.9,2.3,1.94,2.18,1.70677,2.18441,2.74806
rucaparib,dyspnoeas,555,302.62,1.83,1.82,1.83,1.70289,1.82748,1.95802
letrozole,dyspnoeas,1240,694.88,1.78,1.66,1.78,1.69982,1.78174,1.86625
amifampridine,dyspnoeas,130,65.03,2,2.1,1.96,1.69655,1.96637,2.2637
formoterol,dyspnoeas,2929,1678.52,1.74,5.91,1.74,1.69142,1.74388,1.79742
carboplatin,dyspnoeas,2998,1718.79,1.74,2.03,1.74,1.69133,1.74317,1.79605
dapsone,dyspnoeas,73,34.46,2.12,1.48,2.05,1.68394,2.0536,2.47505
phytonadione,dyspnoeas,75,35.64,2.1,2.48,2.04,1.67912,2.04209,2.45511
menthol,dyspnoeas,78,37.62,2.07,1.69,2.01,1.66352,2.01516,2.41418
iothalamate,dyspnoeas,583,326.74,1.78,2.58,1.78,1.66009,1.77846,1.90233
primaquine,dyspnoeas,14,4.26,3.29,2.95,2.68,1.65608,2.68883,4.25037
aveeno,dyspnoeas,8,1.68,4.77,1.22,3.38,1.64486,3.39024,6.83625
salicylate meglumine,dyspnoeas,21,7.71,2.72,2.9,2.39,1.63752,2.40074,3.41247
inclisiran,dyspnoeas,156,82.33,1.89,1.66,1.87,1.63501,1.87029,2.12728
aldesleukin,dyspnoeas,132,68.67,1.92,2.12,1.89,1.63473,1.89247,2.17623
aclidinium,dyspnoeas,1513,888.47,1.7,8.03,1.7,1.63001,1.70091,1.77384
azithromycin,dyspnoeas,2170,1291.15,1.68,1.61,1.68,1.62071,1.6793,1.73929
belumosudil,dyspnoeas,71,34.79,2.04,1.83,1.97,1.61835,1.97901,2.39077
leflunomide,dyspnoeas,1258,740.97,1.7,1.55,1.7,1.61795,1.69535,1.77518
carboprost tromethamine,dyspnoeas,16,5.34,3,2.63,2.51,1.61699,2.52436,3.81762
temafloxacin,dyspnoeas,134,70.78,1.89,1.94,1.86,1.61266,1.8648,2.14218
barium,dyspnoeas,36,15.69,2.29,2.34,2.14,1.61252,2.14697,2.79545
fosaprepitant dimeglumine,dyspnoeas,101,52.14,1.94,3.09,1.89,1.60461,1.89789,2.22534
valine,dyspnoeas,9,2.15,4.19,3.79,3.06,1.60151,3.05894,5.8004
telaprevir,dyspnoeas,1462,874.52,1.67,1.68,1.67,1.59898,1.66977,1.74261
famciclovir,dyspnoeas,2607,1583.33,1.65,6.44,1.65,1.593,1.64544,1.69901
amoxicillin,dyspnoeas,1879,1135.52,1.65,1.59,1.65,1.59129,1.65322,1.71674
eplerenone,dyspnoeas,130,69.78,1.86,1.74,1.83,1.58321,1.83487,2.1121
iodixanol,dyspnoeas,203,113.12,1.79,2.35,1.78,1.58058,1.77774,1.99072
clavulanate,dyspnoeas,418,243.04,1.72,1.66,1.71,1.57842,1.71242,1.85383
budesonide/formoterol/glycopyrronium,dyspnoeas,563,332.85,1.69,8.69,1.69,1.57199,1.68613,1.80568
gadoteridol,dyspnoeas,320,184.53,1.73,2.67,1.72,1.57064,1.72423,1.88754
alemtuzumab,dyspnoeas,1344,817.29,1.64,2.46,1.64,1.56978,1.64235,1.71713
furosemide,dyspnoeas,1844,1129.25,1.63,1.56,1.63,1.56976,1.63144,1.69472
valsartan,dyspnoeas,2137,1313,1.63,1.53,1.63,1.5691,1.62627,1.68482
lutropin alfa,dyspnoeas,8,1.79,4.48,4.67,3.16,1.56337,3.15473,6.33605
ruxolitinib,dyspnoeas,3029,1879.67,1.61,1.62,1.61,1.56291,1.61057,1.65917
nilotinib,dyspnoeas,1655,1016.3,1.63,1.61,1.63,1.56191,1.62679,1.69344
sotalol,dyspnoeas,196,110.85,1.77,1.67,1.75,1.55381,1.75132,1.96497
yasmin,dyspnoeas,3332,2093.82,1.59,1.48,1.59,1.54567,1.59056,1.63631
carfilzomib,dyspnoeas,722,439.51,1.64,1.85,1.64,1.54061,1.63886,1.7412
choriogonadotropin alfa,dyspnoeas,72,37.27,1.93,1.56,1.87,1.53795,1.87772,2.26503
estramustine,dyspnoeas,60,30.46,1.97,2,1.9,1.52788,1.9024,2.33491
gadobenate,dyspnoeas,321,190.8,1.68,2.49,1.67,1.5244,1.6732,1.83142
volenrelaxin,dyspnoeas,764,473.99,1.61,1.94,1.61,1.51453,1.60831,1.70589
mixed,dyspnoeas,33,15.11,2.18,2.24,2.03,1.51192,2.03865,2.68213
ombitasvir,dyspnoeas,14,4.75,2.95,2.97,2.41,1.51021,2.4309,3.77707
dextran 40,dyspnoeas,16,5.79,2.76,3.54,2.33,1.50874,2.34507,3.51353
heparin,dyspnoeas,1881,1211.41,1.55,1.82,1.55,1.49334,1.55142,1.611
paritaprevir,dyspnoeas,14,4.82,2.9,2.92,2.38,1.49207,2.39955,3.72081
candesartan cilexetil,dyspnoeas,188,110.59,1.7,1.71,1.68,1.49018,1.68389,1.89376
inotersen,dyspnoeas,91,50.16,1.81,1.59,1.77,1.48841,1.77654,2.10004
ceritinib,dyspnoeas,140,80.64,1.74,1.7,1.71,1.48684,1.71369,1.96265
tolcapone,dyspnoeas,59,30.93,1.91,1.93,1.84,1.47807,1.8437,2.26631
olaratumab,dyspnoeas,32,14.92,2.14,2.45,1.99,1.47654,2.00015,2.64138
rofecoxib,dyspnoeas,5477,3631.04,1.51,1.69,1.51,1.47469,1.50796,1.54172
ethinyl estradiol/drospirenone,dyspnoeas,29,13.39,2.17,1.92,2,1.45709,2.00546,2.68476
tozinameran,dyspnoeas,31,14.66,2.11,1.68,1.96,1.44766,1.97062,2.61289
cefuroxime,dyspnoeas,577,373.27,1.55,1.68,1.54,1.43848,1.54158,1.64951
laureth 9,dyspnoeas,19,7.84,2.42,2.29,2.12,1.43263,2.13591,3.06737
filgrastim,dyspnoeas,555,360.03,1.54,1.33,1.54,1.4324,1.53718,1.64695
dialysis solution,dyspnoeas,331,210,1.58,1.26,1.57,1.43104,1.56847,1.71444
cabergoline,dyspnoeas,195,119.94,1.63,1.53,1.61,1.42972,1.61191,1.80901
regorafenib,dyspnoeas,481,312.32,1.54,1.59,1.53,1.42289,1.53508,1.65302
brigatinib,dyspnoeas,128,76.71,1.67,1.59,1.64,1.41891,1.64625,1.89679
dasatinib,dyspnoeas,1339,902.14,1.48,1.42,1.48,1.41697,1.4826,1.55023
phenazopyridine,dyspnoeas,20,8.51,2.35,2.31,2.07,1.41692,2.08912,2.96909
meglumine,dyspnoeas,14,5.18,2.7,3.63,2.23,1.40545,2.25161,3.46006
teniposide,dyspnoeas,16,6.3,2.54,3.34,2.16,1.40483,2.17629,3.23578
fluorescein,dyspnoeas,75,42.86,1.75,2.53,1.7,1.40475,1.70774,2.05189
zafirlukast,dyspnoeas,114,68.31,1.67,1.7,1.64,1.40408,1.64384,1.90962
dacomitinib,dyspnoeas,37,18.87,1.96,1.86,1.85,1.40111,1.85579,2.40273
vinorelbine,dyspnoeas,461,303.51,1.52,2.18,1.51,1.40089,1.51384,1.6327
megestrol,dyspnoeas,118,71.15,1.66,1.56,1.63,1.39996,1.63451,1.89405
lorlatinib,dyspnoeas,145,89.18,1.63,1.47,1.61,1.39805,1.60725,1.83644
oxilorphan,dyspnoeas,33,16.51,2,2.55,1.87,1.39324,1.8773,2.46657
troglitazone,dyspnoeas,324,211.43,1.53,1.5,1.52,1.39007,1.52508,1.66857
homeopathic,dyspnoeas,24,11.08,2.17,1.99,1.96,1.38918,1.9756,2.71886
gonadotropin,dyspnoeas,13,4.71,2.76,2.29,2.25,1.38649,2.26441,3.54538
atenolol,dyspnoeas,811,552.58,1.47,1.44,1.46,1.38204,1.465,1.55121
gemibotulinumtoxin a,dyspnoeas,100,60.21,1.66,1.44,1.63,1.37943,1.63268,1.91537
propafenone,dyspnoeas,176,111.61,1.58,1.55,1.56,1.37702,1.56248,1.76392
hydrochlorothiazide/valsartan,dyspnoeas,64,36.56,1.75,1.7,1.7,1.37672,1.70153,2.07444
fosfomycin tromethamine,dyspnoeas,31,15.5,2,1.92,1.86,1.37483,1.87065,2.47819
honey,dyspnoeas,15,5.92,2.54,2.96,2.14,1.37018,2.15407,3.2433
budenoside/formoterol,dyspnoeas,6947,4990.61,1.39,7.16,1.39,1.36446,1.39174,1.41938
fluticasone/salmeterol,dyspnoeas,8457,6092.85,1.39,5.49,1.39,1.36312,1.3878,1.41277
gefitinib,dyspnoeas,488,331.39,1.47,1.52,1.47,1.36159,1.46813,1.58009
chlorambucil,dyspnoeas,82,49.15,1.67,1.62,1.63,1.35576,1.63378,1.94775
cefuroxime axetil,dyspnoeas,79,47.19,1.67,1.65,1.63,1.35424,1.63782,1.95881
etoposide,dyspnoeas,759,527.89,1.44,1.64,1.43,1.35114,1.43509,1.52244
proguanil,dyspnoeas,16,6.6,2.42,2.38,2.07,1.35099,2.08992,3.09686
gemcitabine,dyspnoeas,1811,1296.06,1.4,1.58,1.4,1.34299,1.39626,1.45091
plerixafor,dyspnoeas,41,22.35,1.83,1.87,1.74,1.34202,1.75151,2.23876
abarelix,dyspnoeas,8,2.18,3.67,3.11,2.58,1.342,2.58592,4.95034
brentuximab,dyspnoeas,8,2.21,3.62,5.14,2.55,1.32884,2.55509,4.8705
amoxicillin/clavulanate,dyspnoeas,45,25.22,1.78,1.67,1.71,1.32879,1.71268,2.16559
pyridostigmine,dyspnoeas,63,37.27,1.69,1.58,1.64,1.32826,1.64436,2.00757
glycopyrrolate,dyspnoeas,417,288.8,1.44,6.67,1.44,1.32622,1.43894,1.55787
oritavancin,dyspnoeas,82,50.41,1.63,2.49,1.59,1.32268,1.59388,1.90011
soybean,dyspnoeas,48,27.35,1.75,2.63,1.68,1.32212,1.68999,2.12159
methylergonovine,dyspnoeas,52,30.05,1.73,1.73,1.67,1.32101,1.67192,2.08097
bicalutamide,dyspnoeas,262,177.99,1.47,1.44,1.46,1.32017,1.46373,1.61735
trastuzumab,dyspnoeas,1728,1257.42,1.37,1.67,1.37,1.31958,1.37319,1.42823
vandetanib,dyspnoeas,85,52.69,1.61,1.68,1.58,1.31739,1.58212,1.88037
iodamide meglumine,dyspnoeas,25,12.39,2.02,2.73,1.85,1.31721,1.85815,2.53756
exisulind,dyspnoeas,6,1.26,4.74,4.28,2.99,1.31461,2.95811,6.8635
imiquimod,dyspnoeas,59,34.97,1.69,0.53,1.63,1.31373,1.63828,2.01294
dofetilide,dyspnoeas,425,297.43,1.43,1.33,1.42,1.31363,1.42417,1.54074
bumetanide,dyspnoeas,58,34.31,1.69,1.69,1.64,1.31294,1.64047,2.01905
clarithromycin,dyspnoeas,1393,1017.67,1.37,1.33,1.37,1.30815,1.36751,1.42865
levothyroxine,dyspnoeas,2210,1632.87,1.35,1.28,1.35,1.30588,1.35264,1.40052
lapatinib,dyspnoeas,693,497.59,1.39,1.37,1.39,1.30499,1.39,1.47862
pegvaliase,dyspnoeas,223,151.96,1.47,1.29,1.46,1.30337,1.45786,1.62413
capsaicin,dyspnoeas,36,19.73,1.82,0.91,1.72,1.30298,1.7321,2.24877
bromocriptine,dyspnoeas,170,113.86,1.49,1.45,1.48,1.30142,1.48,1.67425
dorzolamide/timolol,dyspnoeas,82,51.32,1.6,1.03,1.56,1.2999,1.5664,1.8673
sulfamethoxazole/trimethoprim,dyspnoeas,20,9.42,2.12,2.03,1.9,1.29688,1.90881,2.70238
cephalexin,dyspnoeas,374,263.86,1.42,1.31,1.41,1.29551,1.41213,1.53554
ondansetron,dyspnoeas,894,653.49,1.37,1.51,1.37,1.29227,1.36602,1.44252
amifostine,dyspnoeas,115,75.06,1.53,1.9,1.51,1.29219,1.51171,1.75489
daratumumab,dyspnoeas,615,444.68,1.38,1.73,1.38,1.29054,1.38001,1.47352
crizotinib,dyspnoeas,456,325.91,1.4,1.3,1.39,1.29033,1.39496,1.50509
taliglucerase alfa,dyspnoeas,59,35.66,1.65,2.31,1.6,1.2893,1.60775,1.97533
vicks,dyspnoeas,28,14.67,1.91,2.82,1.77,1.28763,1.78065,2.39047
erythrosine,dyspnoeas,22,10.77,2.04,2.16,1.85,1.28717,1.85895,2.58907
enfuvirtide,dyspnoeas,27,14.04,1.92,1.61,1.78,1.28516,1.78822,2.41315
timolol,dyspnoeas,284,199.5,1.42,0.93,1.42,1.28293,1.41656,1.55918
palbociclib,dyspnoeas,3498,2659.42,1.32,1.2,1.31,1.27863,1.31486,1.35176
pyrithione zinc,dyspnoeas,9,2.88,3.13,2.33,2.31,1.27771,2.32815,4.09621
