activeingred,reaction,N,E,RR,PRR,EBGM,EBGM_05,EBGM_50,EBGM_95
umeclidinium,dyspnoeas,4168,799.96,5.21,5.24,5.21,5.07664,5.2083,5.34222
ambrisentan,dyspnoeas,18317,3653.22,5.01,5.13,5.01,4.95276,5.01346,5.07464
omalizumab,dyspnoeas,10586,2116.73,5,5.06,5,4.92075,5.00029,5.08067
arformoterol,dyspnoeas,221,41.12,5.37,5.38,5.33,4.76236,5.3388,5.9586
bamlanivimab,dyspnoeas,654,128.49,5.09,5.09,5.08,4.75569,5.07675,5.41182
casirivimab,dyspnoeas,226,42.44,5.33,5.33,5.29,4.7243,5.28922,5.89623
dextran,dyspnoeas,124,22.47,5.52,5.52,5.45,4.67239,5.4563,6.31851
casirivimab/imdevimab,dyspnoeas,571,114.94,4.97,4.97,4.95,4.61724,4.95216,5.30279
bebtelovimab,dyspnoeas,254,49.37,5.14,5.15,5.11,4.59545,5.11102,5.663
nintedanib,dyspnoeas,3307,704.53,4.69,4.71,4.69,4.55803,4.69106,4.82665
riociguat,dyspnoeas,1952,413.74,4.72,4.73,4.71,4.53945,4.71303,4.89098
cannabinol,dyspnoeas,24,3.43,7,7,6.63,4.52527,6.70365,9.31969
ipratropium,dyspnoeas,1135,242.34,4.68,4.69,4.67,4.4498,4.67499,4.90764
tiotropium,dyspnoeas,11542,2566.41,4.5,4.56,4.5,4.42795,4.49646,4.56568
proteinase,dyspnoeas,931,199.08,4.68,4.68,4.67,4.41819,4.66608,4.92306
trifluridine,dyspnoeas,188,37.46,5.02,5.02,4.97,4.3893,4.97149,5.60199
imdevimab,dyspnoeas,154,30.22,5.1,5.1,5.03,4.38821,5.03967,5.75084
doxercalciferol,dyspnoeas,84,15.57,5.39,5.39,5.28,4.36901,5.29418,6.33272
ticagrelor,dyspnoeas,2800,646.28,4.33,4.35,4.33,4.19552,4.32884,4.46495
pamidronate,dyspnoeas,1657,381.7,4.34,4.35,4.33,4.16177,4.33491,4.51278
reslizumab,dyspnoeas,89,18.14,4.91,4.91,4.79,3.98263,4.79797,5.71559
budesonide,dyspnoeas,2764,682.72,4.05,4.06,4.04,3.91932,4.04467,4.17267
bosentan,dyspnoeas,6255,1563.12,4,4.03,4,3.91725,3.9999,4.08371
gadoterate meglumine,dyspnoeas,377,87.96,4.29,4.29,4.26,3.90512,4.25843,4.63267
ferric gluconate,dyspnoeas,173,38.9,4.45,4.45,4.38,3.85316,4.38809,4.97113
etesevimab,dyspnoeas,125,27.76,4.5,4.5,4.41,3.78744,4.42044,5.12165
iloprost,dyspnoeas,975,245.77,3.97,3.97,3.96,3.75092,3.95621,4.16891
alpha 1 protease inhibitor,dyspnoeas,207,49.02,4.22,4.22,4.17,3.70674,4.17159,4.67468
ammonia,dyspnoeas,10,1.17,8.56,8.56,7.36,3.69374,7.65467,12.7317
salmeterol,dyspnoeas,1834,489.16,3.75,3.76,3.74,3.60138,3.74349,3.88932
iron,dyspnoeas,1105,293.58,3.76,3.77,3.75,3.57119,3.75427,3.94354
iopromide,dyspnoeas,1277,346.46,3.69,3.69,3.68,3.51068,3.67764,3.84984
efgartigimod alfa,dyspnoeas,227,58.91,3.85,3.85,3.8,3.4021,3.80637,4.24247
fluticasone/vilanterol,dyspnoeas,143,36.52,3.92,3.92,3.84,3.329,3.84064,4.40476
alglucosidase alfa,dyspnoeas,49,10.82,4.53,4.53,4.3,3.3283,4.30987,5.48112
ioversol,dyspnoeas,739,211.51,3.49,3.5,3.48,3.27347,3.48027,3.69569
vilanterol,dyspnoeas,163,43.65,3.73,3.74,3.67,3.21212,3.6698,4.171
iothalamate meglumine,dyspnoeas,141,37.85,3.73,3.73,3.65,3.16241,3.65097,4.19009
digoxin,dyspnoeas,2008,611.43,3.28,3.29,3.28,3.16035,3.27933,3.40128
methoxy polyethylene glycol epoetic beta,dyspnoeas,839,251.53,3.34,3.34,3.32,3.13844,3.32393,3.51665
sulfur,dyspnoeas,128,34.34,3.73,3.73,3.64,3.13376,3.64501,4.21228
dronedarone,dyspnoeas,717,217.74,3.29,3.3,3.28,3.08187,3.27957,3.48562
lumacaftor/ivacaftor,dyspnoeas,533,160.54,3.32,3.32,3.3,3.07168,3.30192,3.54352
levalbuterol,dyspnoeas,140,39.4,3.55,3.55,3.48,3.01366,3.47994,3.9945
perflutren,dyspnoeas,538,167.23,3.22,3.22,3.2,2.97761,3.19962,3.43253
nitrofurantoin,dyspnoeas,834,263.6,3.16,3.17,3.15,2.97641,3.15281,3.33609
gadoversetamide,dyspnoeas,75,19.86,3.78,3.78,3.63,2.97488,3.6359,4.39781
benralizumab,dyspnoeas,931,298.37,3.12,3.12,3.11,2.94567,3.11052,3.28145
theophylline,dyspnoeas,553,174.52,3.17,3.17,3.15,2.93636,3.15212,3.3783
fluticasone,dyspnoeas,5217,1754.77,2.97,2.99,2.97,2.90424,2.97141,3.0396
ferric carboxymaltose,dyspnoeas,742,239.73,3.1,3.1,3.08,2.90035,3.08301,3.27325
fosaprepitant,dyspnoeas,459,146.33,3.14,3.14,3.12,2.88335,3.11704,3.36319
clofazimine,dyspnoeas,170,51.24,3.32,3.32,3.26,2.86427,3.26102,3.69423
sacubitril/valsartan,dyspnoeas,9805,3378.72,2.9,2.93,2.9,2.85322,2.90115,2.94961
amiodarone,dyspnoeas,2541,874.76,2.9,2.91,2.9,2.80789,2.90156,2.99731
adenosine,dyspnoeas,146,44.31,3.29,3.3,3.23,2.8068,3.22958,3.6947
mavacamten,dyspnoeas,107,31.66,3.38,3.38,3.28,2.78842,3.28889,3.84971
oprelvekin,dyspnoeas,82,23.63,3.47,3.47,3.34,2.7684,3.34793,4.01004
ringers,dyspnoeas,127,38.78,3.27,3.28,3.2,2.75236,3.20027,3.69674
tolmetin,dyspnoeas,235,75.69,3.1,3.11,3.06,2.74815,3.06659,3.40932
roflumilast,dyspnoeas,317,105.64,3,3,2.97,2.70695,2.97386,3.25804
trilacicilib,dyspnoeas,16,3.08,5.2,5.2,4.46,2.7039,4.50691,7.06751
ferumoxides,dyspnoeas,20,4.24,4.71,4.71,4.12,2.68822,4.15174,6.17998
niraparib,dyspnoeas,2322,845.13,2.75,2.75,2.74,2.65164,2.74427,2.83903
bisoprolol,dyspnoeas,1174,428.46,2.74,2.74,2.73,2.60445,2.73364,2.86704
albumin,dyspnoeas,222,75.46,2.94,2.94,2.9,2.59484,2.90458,3.23855
diatrizoate meglumine,dyspnoeas,1969,733.03,2.69,2.69,2.68,2.5842,2.68243,2.78312
carmustine,dyspnoeas,105,34.11,3.08,3.08,2.99,2.53708,2.99513,3.50804
fosaprepitant dimeglumine,dyspnoeas,101,32.71,3.09,3.09,3,2.53358,3.00118,3.52609
paclitaxel,dyspnoeas,4198,1628.46,2.58,2.59,2.58,2.51143,2.57628,2.64225
iopamidol,dyspnoeas,796,302.31,2.63,2.64,2.62,2.47419,2.62428,2.78034
octreotide,dyspnoeas,3616,1420.85,2.54,2.55,2.54,2.47419,2.54312,2.61333
metaproterenol,dyspnoeas,148,51.12,2.89,2.9,2.84,2.47241,2.84045,3.24441
tegaserod,dyspnoeas,646,247.05,2.61,2.62,2.6,2.43911,2.60409,2.77637
gadoteridol,dyspnoeas,320,119.85,2.67,2.67,2.65,2.41146,2.64772,2.89908
iothalamate,dyspnoeas,583,225.87,2.58,2.58,2.57,2.39833,2.56949,2.74864
carvedilol,dyspnoeas,1112,444.19,2.5,2.51,2.5,2.37644,2.49764,2.6229
torsemide,dyspnoeas,280,105.83,2.65,2.65,2.62,2.37119,2.62064,2.8872
psyllium,dyspnoeas,44,13.36,3.29,3.29,3.07,2.3711,3.08376,3.94584
gadopentetate,dyspnoeas,1111,448.13,2.48,2.48,2.47,2.35346,2.47354,2.59765
alemtuzumab,dyspnoeas,1344,546.21,2.46,2.46,2.46,2.34741,2.45597,2.56783
covid-19 vaccine,dyspnoeas,55,17.79,3.09,3.09,2.93,2.32542,2.9341,3.65055
regadenoson,dyspnoeas,368,144.69,2.54,2.54,2.52,2.31502,2.52551,2.74849
iohexol,dyspnoeas,946,386.41,2.45,2.45,2.44,2.31339,2.44166,2.5746
etoricoxib,dyspnoeas,37,11.21,3.3,3.3,3.04,2.28699,3.05044,3.99399
ivabradine,dyspnoeas,170,64.36,2.64,2.64,2.6,2.28555,2.60031,2.94326
oxaliplatin,dyspnoeas,2694,1142.22,2.36,2.36,2.36,2.28255,2.35644,2.43191
amoxicillin/clavulanic acid,dyspnoeas,139,51.98,2.67,2.67,2.62,2.2734,2.62307,3.00773
sacubitril,dyspnoeas,34,10.16,3.35,3.35,3.06,2.27136,3.07127,4.07263
pergolide,dyspnoeas,161,61.21,2.63,2.63,2.58,2.26598,2.58743,2.93851
aliskiren,dyspnoeas,721,298.49,2.42,2.42,2.41,2.26268,2.40716,2.55768
gadobenate,dyspnoeas,321,129.11,2.49,2.49,2.47,2.24689,2.46652,2.70014
mibefradil,dyspnoeas,258,102.75,2.51,2.51,2.48,2.23994,2.48602,2.74967
anselamimab,dyspnoeas,21,5.49,3.83,3.83,3.32,2.23412,3.32936,4.84977
rolapitant,dyspnoeas,73,26.09,2.8,2.8,2.69,2.2076,2.69536,3.25383
pirfenidone,dyspnoeas,2719,1195.48,2.27,2.28,2.27,2.2015,2.27243,2.34487
ioxilan,dyspnoeas,17,4.17,4.08,4.08,3.43,2.18682,3.44311,5.29648
tobramycin,dyspnoeas,954,414.48,2.3,2.3,2.3,2.17581,2.29591,2.42037
dietary fiber,dyspnoeas,11,2.14,5.14,5.14,4.02,2.17404,4.05687,7.1991
gadobutrol,dyspnoeas,282,119.69,2.36,2.36,2.33,2.11446,2.33586,2.5723
corticotropin,dyspnoeas,608,268.67,2.26,2.26,2.25,2.10729,2.25434,2.40809
belinostat,dyspnoeas,32,10.32,3.1,3.1,2.83,2.08384,2.83843,3.78333
iodixanol,dyspnoeas,203,86.32,2.35,2.35,2.32,2.06576,2.32379,2.60268
sargramostim,dyspnoeas,164,69.27,2.37,2.37,2.33,2.04587,2.3328,2.6457
ganirelix,dyspnoeas,30,9.73,3.08,3.08,2.79,2.03811,2.80537,3.77405
tafamidis,dyspnoeas,674,310.41,2.17,2.17,2.16,2.02991,2.16412,2.30414
carboprost,dyspnoeas,45,16.28,2.76,2.76,2.6,2.01542,2.60476,3.30776
fluorescein,dyspnoeas,75,29.59,2.53,2.53,2.44,2.01326,2.44984,2.94754
vinorelbine,dyspnoeas,461,211.58,2.18,2.18,2.17,2.00633,2.16818,2.33854
beclometasone,dyspnoeas,661,307.87,2.15,2.15,2.14,2.0058,2.13977,2.2796
everolimus,dyspnoeas,2921,1411.62,2.07,2.07,2.07,2.00545,2.06774,2.1313
oritavancin,dyspnoeas,82,32.9,2.49,2.49,2.41,2.00398,2.41696,2.88479
pneumococcal,dyspnoeas,36,12.58,2.86,2.86,2.64,1.98819,2.65371,3.46866
thyroid,dyspnoeas,87,35.51,2.45,2.45,2.38,1.98547,2.38107,2.82738
semaxanib,dyspnoeas,55,21.1,2.61,2.61,2.48,1.97445,2.48647,3.08462
phytonadione,dyspnoeas,75,30.29,2.48,2.48,2.39,1.96818,2.39473,2.88077
carboplatin,dyspnoeas,2998,1479.29,2.03,2.03,2.03,1.965,2.02523,2.08668
isoetharine,dyspnoeas,20,5.92,3.38,3.38,2.91,1.9613,2.92584,4.2498
soybean,dyspnoeas,48,18.26,2.63,2.63,2.48,1.94426,2.49026,3.136
aprepitant,dyspnoeas,32,11.21,2.85,2.85,2.61,1.92888,2.62198,3.48267
montelukast,dyspnoeas,1913,954.34,2,2.01,2,1.928,2.00235,2.0786
perindopril,dyspnoeas,284,133.83,2.12,2.12,2.1,1.90704,2.10587,2.31811
camphor,dyspnoeas,21,6.54,3.21,3.21,2.79,1.90476,2.80512,4.01688
influenza,dyspnoeas,61,24.88,2.45,2.45,2.35,1.89307,2.35459,2.88833
galsulfase,dyspnoeas,198,92.01,2.15,2.15,2.13,1.88903,2.12804,2.38656
metoprolol,dyspnoeas,2025,1032.65,1.96,1.96,1.96,1.8883,1.95903,2.0315
mometasone,dyspnoeas,837,418.34,2,2,2,1.88454,1.99585,2.11147
dextran 40,dyspnoeas,16,4.52,3.54,3.54,2.94,1.87869,2.95592,4.52813
boceprevir,dyspnoeas,422,207.14,2.04,2.04,2.03,1.86917,2.02712,2.19375
bleomycin,dyspnoeas,167,77.68,2.15,2.15,2.12,1.8631,2.12161,2.4032
tezepelumab,dyspnoeas,105,46.8,2.24,2.24,2.19,1.86156,2.195,2.56666
vicks,dyspnoeas,28,9.93,2.82,2.82,2.55,1.84484,2.56328,3.47
palivizumab,dyspnoeas,848,433.64,1.96,1.96,1.95,1.8428,1.95091,2.06317
dornase,dyspnoeas,184,87.26,2.11,2.11,2.08,1.8416,2.08401,2.34696
alglucosidase,dyspnoeas,296,144.88,2.04,2.04,2.03,1.84085,2.02856,2.22866
moxifloxacin,dyspnoeas,1556,809.62,1.92,1.92,1.92,1.84055,1.91947,2.00061
chlorhexidine,dyspnoeas,441,220.34,2,2,1.99,1.84017,1.9921,2.15218
telbivudine,dyspnoeas,83,36.76,2.26,2.26,2.19,1.8238,2.1964,2.61757
volenrelaxin,dyspnoeas,764,394.63,1.94,1.94,1.93,1.81838,1.93099,2.04817
omapatrilat,dyspnoeas,13,3.43,3.79,3.79,3.02,1.81686,3.03216,4.94771
meglumine,dyspnoeas,14,3.85,3.63,3.63,2.94,1.81213,2.95265,4.68883
nebivolol,dyspnoeas,270,134.61,2.01,2.01,1.99,1.79809,1.99064,2.19652
aldesleukin,dyspnoeas,132,62.42,2.11,2.12,2.08,1.79693,2.08043,2.39254
ramipril,dyspnoeas,1380,734.58,1.88,1.88,1.88,1.79417,1.876,1.96029
teniposide,dyspnoeas,16,4.79,3.34,3.34,2.78,1.78575,2.79708,4.25002
ioxaglate,dyspnoeas,145,69.78,2.08,2.08,2.05,1.78098,2.04783,2.3403
amifampridine,dyspnoeas,130,61.99,2.1,2.1,2.06,1.77973,2.06285,2.37479
taliglucerase alfa,dyspnoeas,59,25.54,2.31,2.31,2.21,1.7789,2.22032,2.73147
rosiglitazone/metformin,dyspnoeas,263,132.46,1.99,1.99,1.97,1.77717,1.97016,2.17669
pioglitazone,dyspnoeas,804,427.96,1.88,1.88,1.87,1.76763,1.87423,1.98504
onasemnogene abeparvovec,dyspnoeas,137,66.11,2.07,2.07,2.04,1.7672,2.04033,2.34048
bitolterol,dyspnoeas,14,3.97,3.53,3.53,2.86,1.76672,2.87045,4.53519
telithromycin,dyspnoeas,288,147.18,1.96,1.96,1.94,1.76103,1.94321,2.13759
brentuximab,dyspnoeas,8,1.56,5.14,5.14,3.62,1.75331,3.61994,7.35024
oxilorphan,dyspnoeas,33,12.93,2.55,2.55,2.36,1.75271,2.36659,3.11974
heparin,dyspnoeas,1881,1032.53,1.82,1.82,1.82,1.75181,1.81995,1.88984
lumefantrine,dyspnoeas,21,7.2,2.92,2.92,2.55,1.74837,2.56475,3.64503
sodium bicarbonate,dyspnoeas,177,88.46,2,2,1.98,1.7435,1.97781,2.23234
salicylate meglumine,dyspnoeas,21,7.24,2.9,2.9,2.54,1.74004,2.55209,3.62572
iodamide meglumine,dyspnoeas,25,9.15,2.73,2.73,2.45,1.73837,2.46239,3.38737
carfilzomib,dyspnoeas,722,389.64,1.85,1.85,1.85,1.73735,1.84815,1.96357
articaine,dyspnoeas,41,17.25,2.38,2.38,2.24,1.71664,2.2435,2.87337
laronidase,dyspnoeas,249,130.32,1.91,1.91,1.89,1.70514,1.89578,2.10018
flunitrazepam,dyspnoeas,57,25.66,2.22,2.22,2.13,1.70458,2.13568,2.63585
capmatinib,dyspnoeas,146,73.71,1.98,1.98,1.95,1.69993,1.9536,2.2315
rucaparib,dyspnoeas,555,304.53,1.82,1.82,1.82,1.69261,1.81646,1.9462
tadalafil,dyspnoeas,1643,934.8,1.76,1.76,1.76,1.68543,1.75571,1.82791
idursulfase,dyspnoeas,290,155.05,1.87,1.87,1.86,1.68458,1.85819,2.04338
olaratumab,dyspnoeas,32,13.04,2.45,2.45,2.26,1.67766,2.27513,3.00897
peginterferon alfa-2a,dyspnoeas,1847,1062.51,1.74,1.74,1.74,1.67108,1.73669,1.80401
ribociclib,dyspnoeas,999,567.12,1.76,1.76,1.76,1.66851,1.75842,1.8515
ponesimod,dyspnoeas,16,5.22,3.07,3.07,2.57,1.65957,2.58637,3.88891
phendimetrazine,dyspnoeas,15,4.75,3.16,3.16,2.61,1.65808,2.62758,4.01933
rifapentine,dyspnoeas,14,4.28,3.27,3.27,2.66,1.65806,2.67783,4.18001
denileukin,dyspnoeas,33,13.74,2.4,2.4,2.22,1.6561,2.23459,2.94191
temafloxacin,dyspnoeas,134,69,1.94,1.94,1.91,1.65495,1.91376,2.19841
barium,dyspnoeas,36,15.38,2.34,2.34,2.19,1.6483,2.19442,2.85534
rofecoxib,dyspnoeas,5477,3257.5,1.68,1.69,1.68,1.64376,1.68083,1.71847
soybean oil,dyspnoeas,20,7.24,2.76,2.76,2.41,1.64089,2.42684,3.46663
rituximab,dyspnoeas,5723,3416.02,1.68,1.68,1.67,1.6387,1.67486,1.71153
benzonatate,dyspnoeas,62,29.48,2.1,2.1,2.03,1.63814,2.03259,2.48698
vonicog alfa,dyspnoeas,34,14.45,2.35,2.35,2.19,1.63665,2.19781,2.88113
pegloticase,dyspnoeas,126,65.61,1.92,1.92,1.89,1.62777,1.89105,2.18149
lutropin alfa,dyspnoeas,8,1.71,4.67,4.67,3.25,1.62257,3.24852,6.5242
zoledronic acid,dyspnoeas,4002,2412.3,1.66,1.66,1.66,1.61557,1.65831,1.70181
daratumumab,dyspnoeas,615,355.26,1.73,1.73,1.73,1.61432,1.72625,1.84325
topotecan,dyspnoeas,323,182.22,1.77,1.77,1.76,1.60646,1.76279,1.92896
telaprevir,dyspnoeas,1462,871.21,1.68,1.68,1.68,1.60514,1.67621,1.74934
trastuzumab,dyspnoeas,1728,1036.5,1.67,1.67,1.67,1.60053,1.66555,1.73232
agalsidase alfa,dyspnoeas,522,302.27,1.73,1.73,1.72,1.60034,1.72124,1.84809
amifostine,dyspnoeas,115,60.47,1.9,1.9,1.87,1.59843,1.87029,2.17158
palonosetron,dyspnoeas,52,24.8,2.1,2.1,2.01,1.58978,2.01328,2.50769
acetylcysteine,dyspnoeas,69,34.42,2,2,1.94,1.58734,1.94675,2.35747
letrozole,dyspnoeas,1240,747.98,1.66,1.66,1.66,1.57949,1.65561,1.73413
honey,dyspnoeas,15,5.06,2.96,2.96,2.46,1.57183,2.48275,3.76948
benzocaine,dyspnoeas,23,9.19,2.5,2.5,2.24,1.56959,2.25392,3.13077
fulvestrant,dyspnoeas,489,288.48,1.7,1.7,1.69,1.56675,1.68923,1.81795
tixagevimab/cilgavimab,dyspnoeas,75,38.35,1.96,1.96,1.9,1.56656,1.90484,2.2892
cefuroxime,dyspnoeas,577,342.84,1.68,1.68,1.68,1.56588,1.67813,1.79563
ruxolitinib,dyspnoeas,3029,1877.46,1.61,1.62,1.61,1.5648,1.6125,1.66117
sodium chloride,dyspnoeas,416,244.25,1.7,1.7,1.7,1.56318,1.69624,1.83664
estramustine,dyspnoeas,60,29.94,2,2,1.93,1.55615,1.9377,2.37804
gadodiamide,dyspnoeas,117,63.39,1.85,1.85,1.81,1.5548,1.81671,2.10666
mixed,dyspnoeas,33,14.76,2.24,2.24,2.08,1.55073,2.09112,2.74985
azithromycin,dyspnoeas,2170,1352.71,1.6,1.61,1.6,1.5471,1.60303,1.66029
eculizumab,dyspnoeas,2478,1550.59,1.6,1.6,1.6,1.54491,1.5971,1.65044
nedocromil,dyspnoeas,58,29.09,1.99,1.99,1.92,1.54119,1.92647,2.37219
etoposide,dyspnoeas,759,463.08,1.64,1.64,1.64,1.53987,1.63555,1.73512
nilotinib,dyspnoeas,1655,1031.63,1.6,1.61,1.6,1.53881,1.60273,1.66839
ombitasvir,dyspnoeas,14,4.71,2.97,2.97,2.44,1.53178,2.4603,3.79177
ergocalciferol,dyspnoeas,41,19.51,2.1,2.1,1.99,1.52916,1.99703,2.55442
cefotetan,dyspnoeas,80,42.32,1.89,1.89,1.84,1.52784,1.84589,2.2057
amoxicillin,dyspnoeas,1879,1185.71,1.58,1.59,1.58,1.52409,1.5834,1.64424
glatiramer,dyspnoeas,2921,1860.17,1.57,1.57,1.57,1.52218,1.56946,1.61771
primaquine,dyspnoeas,14,4.75,2.95,2.95,2.42,1.52138,2.44264,3.76097
clavulanate,dyspnoeas,418,252.31,1.66,1.66,1.65,1.52107,1.65021,1.78647
gemcitabine,dyspnoeas,1811,1149.03,1.58,1.58,1.57,1.5147,1.57477,1.63642
paritaprevir,dyspnoeas,14,4.79,2.92,2.92,2.41,1.51114,2.42528,3.73081
candesartan cilexetil,dyspnoeas,188,109.8,1.71,1.71,1.7,1.50155,1.69676,1.90825
furosemide,dyspnoeas,1844,1182.52,1.56,1.56,1.56,1.49919,1.55811,1.61855
pertuzumab,dyspnoeas,368,224.39,1.64,1.64,1.63,1.49688,1.6328,1.77672
tolcapone,dyspnoeas,59,30.64,1.93,1.93,1.86,1.49393,1.8636,2.29059
ancestim,dyspnoeas,9,2.38,3.79,3.79,2.75,1.48945,2.75776,5.01616
valine,dyspnoeas,9,2.38,3.79,3.79,2.75,1.48945,2.75776,5.01616
tositumomab,dyspnoeas,12,3.85,3.11,3.11,2.47,1.48663,2.48957,3.99922
elosulfase alfa,dyspnoeas,197,116.77,1.69,1.69,1.67,1.48463,1.67282,1.87633
ceftriaxone,dyspnoeas,834,530.59,1.57,1.57,1.57,1.4813,1.56894,1.65998
eplerenone,dyspnoeas,130,74.84,1.74,1.74,1.71,1.47915,1.71423,1.97308
cabazitaxel,dyspnoeas,117,66.85,1.75,1.75,1.72,1.47574,1.72426,1.99937
valsartan,dyspnoeas,2137,1399.12,1.53,1.53,1.53,1.47267,1.52633,1.58128
leflunomide,dyspnoeas,1258,814.6,1.54,1.55,1.54,1.47207,1.54248,1.61511
sotalol,dyspnoeas,196,117.2,1.67,1.67,1.66,1.47132,1.65834,1.86061
regorafenib,dyspnoeas,481,302.19,1.59,1.59,1.59,1.47062,1.58658,1.7085
cetuximab,dyspnoeas,1291,840.8,1.54,1.54,1.53,1.46455,1.53367,1.60494
malathion,dyspnoeas,11,3.43,3.21,3.21,2.49,1.46111,2.51011,4.1416
ceritinib,dyspnoeas,140,82.23,1.7,1.7,1.68,1.45941,1.68211,1.92646
carboprost tromethamine,dyspnoeas,16,6.07,2.63,2.63,2.24,1.45883,2.26048,3.35375
immune globulin,dyspnoeas,3342,2225.48,1.5,1.5,1.5,1.45875,1.50105,1.54416
belumosudil,dyspnoeas,71,38.86,1.83,1.83,1.78,1.45668,1.78096,2.15056
cyanocobalamin,dyspnoeas,48,24.76,1.94,1.94,1.86,1.45617,1.86203,2.33838
sotrovimab,dyspnoeas,138,81.14,1.7,1.7,1.68,1.45614,1.68009,1.92599
dalbavancin,dyspnoeas,45,22.97,1.96,1.96,1.87,1.45487,1.87593,2.37285
inclisiran,dyspnoeas,156,93.8,1.66,1.66,1.64,1.43883,1.64579,1.87177
yasmin,dyspnoeas,3332,2262.04,1.47,1.48,1.47,1.43083,1.47239,1.51474
rituxumab,dyspnoeas,111,65.26,1.7,1.7,1.67,1.42791,1.67544,1.95019
zafirlukast,dyspnoeas,114,67.24,1.7,1.7,1.67,1.42693,1.67067,1.94083
pemetrexed,dyspnoeas,658,431.73,1.52,1.52,1.52,1.4253,1.5207,1.62026
technetium,dyspnoeas,250,157.07,1.59,1.59,1.58,1.42309,1.5818,1.75192
ondansetron,dyspnoeas,894,593.59,1.51,1.51,1.5,1.42247,1.50365,1.58787
terbutaline,dyspnoeas,84,48.13,1.75,1.75,1.71,1.42207,1.70997,2.03458
ritodrine,dyspnoeas,91,52.76,1.72,1.72,1.69,1.41832,1.69287,2.00097
phenazopyridine,dyspnoeas,20,8.64,2.31,2.31,2.06,1.40504,2.07055,2.93429
gefitinib,dyspnoeas,488,321.35,1.52,1.52,1.51,1.40419,1.51408,1.62956
muromonab,dyspnoeas,99,58.64,1.69,1.69,1.66,1.40144,1.66027,1.94932
vandetanib,dyspnoeas,85,50.46,1.68,1.68,1.65,1.3755,1.65208,1.96367
laureth 9,dyspnoeas,19,8.29,2.29,2.29,2.03,1.3711,2.0414,2.91702
plerixafor,dyspnoeas,41,21.92,1.87,1.87,1.78,1.3699,1.78828,2.28571
menthol,dyspnoeas,78,46.26,1.69,1.69,1.65,1.3633,1.65097,1.97678
troglitazone,dyspnoeas,324,215.75,1.5,1.5,1.49,1.36274,1.49512,1.6358
propafenone,dyspnoeas,176,113.27,1.55,1.55,1.54,1.3578,1.54069,1.73936
